iter	Passed	Remaining
372	143937	49008
373	144261	48601
374	144635	48211
375	144981	47812
376	145289	47402
377	145631	47002
378	145976	46604
379	146315	46204
380	146658	45806
381	147006	45410
382	147333	45007
383	147667	44607
384	147996	44206
385	148412	43831
386	148644	43402
387	148990	43007
388	149331	42611
389	149660	42212
390	149984	41811
391	150344	41421
392	150683	41025
393	151016	40628
394	151377	40239
395	151740	39851
396	152096	39460
397	152436	39066
398	152790	38676
399	153133	38283
400	153478	37891
401	153837	37502
402	154179	37110
403	154512	36715
404	154818	36315
405	155146	35920
406	155471	35525
407	155834	35139
408	156182	34749
409	156538	34362
410	156909	33977
411	157221	33581
412	157555	33189
413	157900	32800
414	158244	32411
415	158595	32024
416	158956	31638
417	159311	31252
418	159677	30868
419	160003	30476
420	160290	30078
421	160609	29686
422	160949	29298
423	161232	28900
424	161558	28510
425	161906	28124
426	162242	27736
427	162591	27351
428	162888	26958
429	163216	26570
430	163547	26182
431	163870	25794
432	164220	25410
433	164570	25026
434	164908	24641
435	165237	24255
436	165578	23870
437	165912	23485
438	166250	23100
439	166574	22714
440	166911	22330
441	167269	21949
442	167598	21564
443	167923	21179
444	168273	20797
445	168625	20416
446	168943	20031
447	169290	19649
448	169620	19266
449	169997	18888
450	170355	18508
451	170720	18129
452	171102	17752
453	171444	17371
454	171763	16987
455	172110	16607
456	172474	16228
457	172819	15848
458	173180	15469
459	173552	15091
460	173866	14708
461	174155	14324
462	174505	13945
463	174871	13567
464	175235	13189
465	175581	12810
466	175933	12432
467	176276	12053
468	176609	11673
469	176925	11293
470	177277	10915
471	177619	10536
472	177939	10157
473	178252	9777
474	178610	9400
475	178968	9023
476	179339	8647
477	179713	8271
478	180061	7894
479	180406	7516
480	180735	7139
481	181085	6762
482	181434	6385
483	181770	6008
484	182115	5632
485	182448	5255
486	182748	4878
487	183085	4502
488	183431	4126
489	183749	3749
490	184036	3373
491	184360	2997
492	184684	2622
493	185020	2247
494	185382	1872
495	185732	1497
496	186106	1123
497	186457	748
498	186774	374
499	187151	0
