iter	Logloss
0	0.6099455143
1	0.5424616724
2	0.4883043025
3	0.4455965146
4	0.4139450878
5	0.3854195785
6	0.3644914886
7	0.3446002359
8	0.328097205
9	0.3145270029
10	0.3044960827
11	0.2958989829
12	0.2873844242
13	0.28126531
14	0.2759483779
15	0.2706039841
16	0.2667153326
17	0.2633006621
18	0.2595938269
19	0.2563561899
20	0.2535635322
21	0.2511926541
22	0.2495482545
23	0.2476826368
24	0.2460015836
25	0.2448444858
26	0.2438692139
27	0.2426383578
28	0.2418396573
29	0.2408469046
30	0.2399763962
31	0.2394058813
32	0.2387066218
33	0.2380651699
34	0.2375001407
35	0.2369952968
36	0.2364066369
37	0.2360958455
38	0.235807503
39	0.2353559461
40	0.2349577748
41	0.2347698933
42	0.2345061752
43	0.2343109721
44	0.2340067402
45	0.233792965
46	0.2335441773
47	0.2333688348
48	0.2332013718
49	0.2330488182
50	0.232911753
51	0.2327308663
52	0.232644152
53	0.2324843429
54	0.2323770371
55	0.2322410907
56	0.2321385639
57	0.2320492764
58	0.231975334
59	0.2318928738
60	0.2318191736
61	0.2317522719
62	0.2316915507
63	0.2316404239
64	0.2315438385
65	0.231453114
66	0.2314039715
67	0.2313211842
68	0.2312796615
69	0.2312368408
70	0.2311914129
71	0.2311157708
72	0.2310777041
73	0.2310155439
74	0.2309737526
75	0.2309059142
76	0.2308650906
77	0.2307954625
78	0.2307475109
79	0.2306916719
80	0.2306552402
81	0.2306230995
82	0.2305982766
83	0.2305657343
84	0.2305385208
85	0.2304918478
86	0.2304440976
87	0.2304208082
88	0.2303957431
89	0.2303563687
90	0.2303336977
91	0.2303092583
92	0.2302901837
93	0.2302608787
94	0.2302420498
95	0.2302168175
96	0.2301886598
97	0.2301486699
98	0.2301145178
99	0.2300817782
100	0.2300640082
101	0.2300382784
102	0.2300177187
103	0.2300030027
104	0.2299905122
105	0.2299715581
106	0.2299571935
107	0.2299265644
108	0.2298973468
109	0.2298722399
110	0.2298618697
111	0.2298477223
112	0.2297937662
113	0.2297650465
114	0.2297404822
115	0.2297074011
116	0.2296850386
117	0.2296679381
118	0.2296501828
119	0.2296231576
120	0.2296075704
121	0.2295922573
122	0.2295850304
123	0.2295645658
124	0.2295318755
125	0.2295262813
126	0.2295096323
127	0.2295081889
128	0.2294975277
129	0.229456874
130	0.2294472611
131	0.2294277443
132	0.2293886409
133	0.2293603384
134	0.2293358166
135	0.2293303485
136	0.2293186367
137	0.2293005262
138	0.2292716067
139	0.2292592789
140	0.2292276028
141	0.2292137591
142	0.2291988906
143	0.2291882425
144	0.2291708275
145	0.2291478436
146	0.2291359011
147	0.2291029042
148	0.2290724758
149	0.2290590673
150	0.2290550839
151	0.229043412
152	0.2290323356
153	0.22901643
154	0.2290034603
155	0.2289878907
156	0.2289872129
157	0.2289804559
158	0.2289706736
159	0.2289514406
160	0.2289382226
161	0.2289298616
162	0.2289164554
163	0.2289079091
164	0.2289018826
165	0.2288932857
166	0.228883409
167	0.2288716071
168	0.2288603544
169	0.2288283461
170	0.2288121595
171	0.2287955403
172	0.2287881607
173	0.2287760511
174	0.2287669958
175	0.2287499893
176	0.2287433436
177	0.2287365223
178	0.2287313831
179	0.2287245921
180	0.2287194341
181	0.2286977795
182	0.2286902853
183	0.2286841228
184	0.2286808226
185	0.2286719924
186	0.2286442754
187	0.228637966
188	0.228625352
189	0.2286172562
190	0.2286021466
191	0.228582007
192	0.2285625538
193	0.228558208
194	0.2285501787
195	0.2285459008
196	0.2285354843
197	0.2285290142
198	0.2285274169
199	0.2285200749
200	0.2285128222
201	0.2285012004
202	0.2284989618
203	0.2284907006
204	0.2284844826
205	0.2284756249
206	0.2284673005
207	0.2284577002
208	0.2284319408
209	0.2284012202
210	0.2283881458
211	0.2283793216
212	0.2283708477
213	0.2283655674
214	0.2283561403
215	0.2283500068
216	0.2283413742
217	0.2283313704
218	0.2283269971
219	0.2283193581
220	0.228311864
221	0.2283053192
222	0.2282965143
223	0.2282865428
224	0.2282776245
225	0.2282744805
226	0.2282636129
227	0.2282558424
228	0.2282456499
229	0.2282222189
230	0.2282152301
231	0.2282083884
232	0.2282010729
233	0.2281915176
234	0.2281782515
235	0.2281526907
236	0.2281446666
237	0.2281365204
238	0.2281158156
239	0.2281047764
240	0.2280818796
241	0.2280599973
242	0.2280558434
243	0.2280411033
244	0.2280404449
245	0.2280401409
246	0.2280319766
247	0.2280252924
248	0.2280188249
249	0.228014056
250	0.2279970161
251	0.227992163
252	0.2279833992
253	0.2279756731
254	0.2279585196
255	0.2279489988
256	0.2279405218
257	0.227933646
258	0.227929908
259	0.2279236708
260	0.2279151374
261	0.2279076801
262	0.2279015584
263	0.2278966799
264	0.2278897656
265	0.2278801315
266	0.2278686358
267	0.2278486925
268	0.2278412902
269	0.2278250967
270	0.2278168178
271	0.2278112616
272	0.2278087377
273	0.2277854739
274	0.2277752522
275	0.227764705
276	0.2277570091
277	0.2277494752
278	0.2277304548
279	0.227726817
280	0.2277056394
281	0.2276951474
282	0.227685592
283	0.2276779809
284	0.2276682301
285	0.2276635357
286	0.2276563276
287	0.2276504632
288	0.2276408366
289	0.2276342381
290	0.2276227266
291	0.2276144021
292	0.2276025479
293	0.227585765
294	0.2275724959
295	0.2275642512
296	0.2275557922
297	0.2275378776
298	0.22752003
299	0.2275102256
300	0.2275035264
301	0.2274938506
302	0.2274869807
303	0.2274761892
304	0.227468352
305	0.2274596725
306	0.2274415971
307	0.2274360786
308	0.2274259014
309	0.2274196797
310	0.2274136659
311	0.2274084619
312	0.2273933094
313	0.2273831098
314	0.2273773408
315	0.2273724796
316	0.2273643523
317	0.2273521472
318	0.2273456497
319	0.227337505
320	0.2273289998
321	0.2273186282
322	0.2273145878
323	0.2273085979
324	0.2273003648
325	0.2272843473
326	0.2272762525
327	0.2272696186
328	0.227261048
329	0.2272498176
330	0.2272447435
331	0.2272368637
332	0.2272297094
333	0.2272201216
334	0.2272128767
335	0.2272027827
336	0.2271940151
337	0.2271865477
338	0.2271721937
339	0.2271493806
340	0.2271436065
341	0.2271403694
342	0.2271338312
343	0.2271203416
344	0.2271129121
345	0.2271022207
346	0.2270949657
347	0.2270918229
348	0.2270823683
349	0.2270619164
350	0.2270529097
351	0.2270345974
352	0.2270224157
353	0.2270127708
354	0.2270096494
355	0.2270017291
356	0.2269945191
357	0.2269881993
358	0.2269795765
359	0.2269746998
360	0.2269684941
361	0.226962198
362	0.2269502093
363	0.2269425697
364	0.2269366121
365	0.2269251572
366	0.2269098394
367	0.2269012338
368	0.2268945887
369	0.2268849735
370	0.2268800782
371	0.2268735647
372	0.2268648587
373	0.2268570716
374	0.2268469353
375	0.2268406976
376	0.2268334818
377	0.2268298453
378	0.2268184548
379	0.2268113626
380	0.2268032123
381	0.2267982026
382	0.2267944063
383	0.2267830227
384	0.2267679354
385	0.226760875
386	0.22674735
387	0.2267373562
388	0.2267314714
389	0.2267241495
390	0.2267213743
391	0.2267161756
392	0.2267082104
393	0.2266997958
394	0.2266892505
395	0.2266790179
396	0.2266735226
397	0.2266658882
398	0.2266600654
399	0.22665089
400	0.2266451824
401	0.2266399013
402	0.2266345763
403	0.2266267825
404	0.2266220013
405	0.2266117965
406	0.2266052772
407	0.2265957789
408	0.2265869878
409	0.226581063
410	0.2265700086
411	0.2265637779
412	0.2265575128
413	0.2265500579
414	0.2265421407
415	0.2265322203
416	0.2265242839
417	0.2265142144
418	0.2265095824
419	0.2265076843
420	0.2265012614
421	0.2264943531
422	0.2264861756
423	0.2264815873
424	0.2264767903
425	0.2264678743
426	0.2264631364
427	0.226451354
428	0.2264465745
429	0.2264422283
430	0.2264357577
431	0.2264296483
432	0.2264224704
433	0.2264157
434	0.2264079274
435	0.2263992278
436	0.2263921323
437	0.226382576
438	0.2263748455
439	0.2263695932
440	0.2263623477
441	0.226357289
442	0.2263506834
443	0.2263430684
444	0.2263377368
445	0.2263329861
446	0.2263325374
447	0.226327115
448	0.2263224022
449	0.226313377
450	0.226307007
451	0.2262992431
452	0.226292829
453	0.2262836314
454	0.226274626
455	0.2262661954
456	0.226263239
457	0.226258122
458	0.2262494606
459	0.2262417777
460	0.2262336231
461	0.2262274718
462	0.2262174295
463	0.2261985937
464	0.2261887916
465	0.2261808101
466	0.2261756695
467	0.226167975
468	0.2261583317
469	0.2261540498
470	0.2261465552
471	0.2261401274
472	0.2261390604
473	0.2261329442
474	0.2261264482
475	0.2261201838
476	0.2261148051
477	0.2261089634
478	0.2261015801
479	0.2260998777
480	0.2260957159
481	0.2260880335
482	0.226080372
483	0.2260749405
484	0.2260683448
485	0.2260617783
486	0.2260547357
487	0.2260466428
488	0.2260418835
489	0.2260377573
490	0.2260368795
491	0.2260301962
492	0.2260234893
493	0.2260172492
494	0.2260095352
495	0.2260008393
496	0.2259928248
497	0.2259866277
498	0.2259863801
499	0.2259808355
